epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,597.161,1.51429,1.5444,1.77505,0.67857,0.5755,0.62334,0.37327,1.49356,1.12181,1.85723,0.000277055,0.000277055,0.000277055
2,1185.68,1.53117,1.24639,1.7589,0.76105,0.66504,0.83314,0.508,1.48051,1.18444,1.8038,0.000527263,0.000527263,0.000527263
3,1772.07,1.50113,1.15185,1.71996,0.86663,0.64665,0.78072,0.4958,1.40283,0.78022,1.72252,0.000749982,0.000749982,0.000749982
4,2360.97,1.44812,1.01533,1.67741,0.80753,0.6847,0.73019,0.46125,1.44282,0.83029,1.73898,0.000709299,0.000709299,0.000709299
5,2967.11,1.38996,0.92331,1.6379,0.90866,0.71933,0.80306,0.52534,1.35085,0.71602,1.67051,0.000668066,0.000668066,0.000668066
6,3560.16,1.3487,0.87451,1.60763,0.92625,0.73869,0.85069,0.55887,1.29042,0.60401,1.59385,0.000626832,0.000626832,0.000626832
7,4167.28,1.31229,0.80501,1.57253,0.83256,0.94059,0.94922,0.64456,1.25211,0.58538,1.57314,0.000585599,0.000585599,0.000585599
8,4760.02,1.28687,0.75513,1.5572,0.95662,0.88276,0.9583,0.63487,1.27612,0.55709,1.60359,0.000544365,0.000544365,0.000544365
9,5351.65,1.25131,0.7259,1.53243,0.74958,0.78336,0.81275,0.5691,1.25073,0.54049,1.57111,0.000503132,0.000503132,0.000503132
10,5943.62,1.22716,0.69058,1.50773,0.94554,0.92189,0.96073,0.67827,1.21053,0.51716,1.56011,0.000461898,0.000461898,0.000461898
11,6549.28,1.15694,0.54882,1.48285,0.90233,0.94691,0.96316,0.65409,1.23066,0.5115,1.58216,0.000420665,0.000420665,0.000420665
12,7140.37,1.11112,0.50933,1.43842,0.94347,0.93206,0.96385,0.67912,1.20404,0.49018,1.5611,0.000379431,0.000379431,0.000379431
13,7737.52,1.07678,0.48737,1.42062,0.95912,0.90361,0.96576,0.67207,1.21139,0.50206,1.5542,0.000338198,0.000338198,0.000338198
14,8328.72,1.03261,0.45854,1.37674,0.94401,0.94266,0.97572,0.67467,1.19012,0.472,1.52219,0.000296964,0.000296964,0.000296964
15,8921.44,0.98304,0.432,1.33227,0.94416,0.92807,0.97711,0.70093,1.15854,0.45951,1.46428,0.000255731,0.000255731,0.000255731
16,9517.96,0.94921,0.41593,1.29624,0.9667,0.91669,0.97648,0.71583,1.14767,0.46587,1.46449,0.000214497,0.000214497,0.000214497
17,10115.6,0.90662,0.39392,1.25973,0.95561,0.94105,0.96839,0.69442,1.14737,0.44189,1.49376,0.000173264,0.000173264,0.000173264
18,10707.1,0.86923,0.37795,1.22443,0.95981,0.94557,0.98331,0.71983,1.14617,0.4303,1.48293,0.000132031,0.000132031,0.000132031
19,11310.5,0.82531,0.35558,1.19913,0.96536,0.93754,0.97933,0.72082,1.12037,0.41459,1.48361,9.0797e-05,9.0797e-05,9.0797e-05
20,11940.5,0.78681,0.3393,1.17622,0.96842,0.93372,0.97787,0.71542,1.10793,0.41452,1.48088,4.95635e-05,4.95635e-05,4.95635e-05
