epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.833,1.46177,1.58591,1.62226,0.87255,0.62178,0.7259,0.4445,1.41028,0.96374,1.63264,0.000277055,0.000277055,0.000277055
2,517.377,1.47162,1.0937,1.60284,0.68953,0.87341,0.80579,0.4758,1.42805,0.83522,1.67572,0.000527263,0.000527263,0.000527263
3,776.008,1.45697,1.05272,1.56987,0.84001,0.84609,0.90135,0.5522,1.41223,0.92393,1.57762,0.000749982,0.000749982,0.000749982
4,1033.81,1.40791,0.95678,1.52115,0.87638,0.89135,0.92433,0.59129,1.43483,0.70292,1.60297,0.000709299,0.000709299,0.000709299
5,1291.26,1.36537,0.8671,1.4928,0.88464,0.87057,0.95899,0.61747,1.3229,0.60837,1.47094,0.000668066,0.000668066,0.000668066
6,1547.54,1.32585,0.81709,1.4633,0.93265,0.91723,0.96066,0.60856,1.29463,0.56085,1.47696,0.000626832,0.000626832,0.000626832
7,1799.26,1.28369,0.76279,1.42971,0.9258,0.90198,0.96675,0.6477,1.23748,0.54496,1.43296,0.000585599,0.000585599,0.000585599
8,2057,1.2463,0.7051,1.39084,0.94321,0.8805,0.93148,0.60737,1.24069,0.52173,1.41501,0.000544365,0.000544365,0.000544365
9,2313.84,1.21335,0.67782,1.38109,0.94944,0.92005,0.96151,0.66397,1.24266,0.51065,1.42574,0.000503132,0.000503132,0.000503132
10,2573.4,1.18492,0.6572,1.35198,0.93508,0.90585,0.9616,0.64014,1.2235,0.5066,1.40706,0.000461898,0.000461898,0.000461898
11,2831.39,1.11746,0.51476,1.35725,0.92451,0.92256,0.9524,0.66187,1.19216,0.50548,1.42701,0.000420665,0.000420665,0.000420665
12,3086.78,1.07128,0.47978,1.3081,0.94393,0.92753,0.96744,0.66815,1.19576,0.49743,1.39436,0.000379431,0.000379431,0.000379431
13,3344.39,1.03094,0.45865,1.28055,0.96502,0.91351,0.96781,0.6873,1.18546,0.4754,1.3943,0.000338198,0.000338198,0.000338198
14,3602.14,0.9879,0.43122,1.25685,0.95932,0.90831,0.95685,0.68084,1.15884,0.46502,1.41391,0.000296964,0.000296964,0.000296964
15,3858.45,0.94755,0.41254,1.22947,0.95616,0.93593,0.96742,0.69453,1.12829,0.45902,1.35838,0.000255731,0.000255731,0.000255731
16,4114.34,0.91274,0.39604,1.20302,0.95232,0.91651,0.96482,0.69574,1.10704,0.44363,1.35666,0.000214497,0.000214497,0.000214497
17,4377.08,0.87641,0.3756,1.17297,0.95907,0.93812,0.97041,0.6954,1.1146,0.43384,1.38062,0.000173264,0.000173264,0.000173264
18,4639.14,0.83688,0.36217,1.15331,0.96103,0.93332,0.96492,0.70478,1.11468,0.42941,1.39339,0.000132031,0.000132031,0.000132031
19,4897.18,0.79533,0.34428,1.12152,0.97032,0.92913,0.96346,0.69663,1.09217,0.42188,1.38294,9.0797e-05,9.0797e-05,9.0797e-05
20,5156.56,0.76455,0.32892,1.10319,0.9739,0.92227,0.9662,0.71306,1.0945,0.42001,1.3726,4.95635e-05,4.95635e-05,4.95635e-05
