epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.074,1.49609,1.38069,1.69988,0.67244,0.65345,0.72916,0.34656,1.56833,1.11139,2.11672,0.000277055,0.000277055,0.000277055
2,389.003,1.53082,1.09905,1.73822,0.71598,0.70037,0.83268,0.45109,1.54758,0.93701,2.06478,0.000536416,0.000536416,0.000536416
3,574.269,1.50203,1.04021,1.71538,0.59075,0.81206,0.73564,0.45643,1.47008,0.94551,1.96508,0.000777451,0.000777451,0.000777451
4,758.208,1.46635,0.98787,1.68464,0.8071,0.82971,0.89955,0.51255,1.43871,0.76138,1.95463,0.000750533,0.000750533,0.000750533
5,941.284,1.4139,0.89779,1.6426,0.86206,0.88509,0.93538,0.55781,1.4071,0.67524,1.91717,0.000723044,0.000723044,0.000723044
6,1125.11,1.37882,0.85619,1.61496,0.94509,0.86489,0.94016,0.53746,1.3337,0.64606,1.85118,0.000695555,0.000695555,0.000695555
7,1309.24,1.3387,0.79131,1.58254,0.9187,0.89927,0.94234,0.59661,1.34379,0.62839,1.84112,0.000668066,0.000668066,0.000668066
8,1494.02,1.3169,0.76342,1.56362,0.96101,0.90499,0.96047,0.61024,1.29085,0.5827,1.81436,0.000640577,0.000640577,0.000640577
9,1678.15,1.29569,0.73023,1.54873,0.91706,0.86506,0.95128,0.59837,1.33375,0.57395,1.81368,0.000613088,0.000613088,0.000613088
10,1861.76,1.26387,0.70719,1.5158,0.94524,0.92442,0.95738,0.62751,1.2925,0.55703,1.80576,0.000585599,0.000585599,0.000585599
11,2045.39,1.24749,0.67829,1.50538,0.95472,0.90773,0.9609,0.64624,1.25284,0.54349,1.76545,0.00055811,0.00055811,0.00055811
12,2230.13,1.21333,0.65377,1.47617,0.92032,0.9442,0.9587,0.6439,1.24792,0.5177,1.7379,0.000530621,0.000530621,0.000530621
13,2413.97,1.18344,0.63949,1.46418,0.95285,0.93389,0.96734,0.66517,1.23759,0.50956,1.75538,0.000503132,0.000503132,0.000503132
14,2597.53,1.17751,0.6295,1.45253,0.9585,0.9243,0.96354,0.64516,1.22806,0.5178,1.74205,0.000475643,0.000475643,0.000475643
15,2780.55,1.15161,0.60718,1.43826,0.94642,0.92019,0.965,0.68317,1.21016,0.51186,1.73506,0.000448154,0.000448154,0.000448154
16,2964.65,1.13703,0.59819,1.4324,0.93489,0.93582,0.96393,0.6545,1.20779,0.48477,1.72338,0.000420665,0.000420665,0.000420665
17,3149.3,1.11037,0.57392,1.40763,0.96114,0.92593,0.96927,0.68759,1.19918,0.4869,1.71031,0.000393176,0.000393176,0.000393176
18,3332.33,1.08309,0.57103,1.39387,0.95503,0.92954,0.96261,0.66447,1.19588,0.48199,1.70073,0.000365687,0.000365687,0.000365687
19,3515.07,1.07116,0.55219,1.37932,0.95794,0.94142,0.97161,0.69151,1.20786,0.47511,1.70681,0.000338198,0.000338198,0.000338198
20,3699.04,1.05536,0.53715,1.36734,0.95726,0.95194,0.97266,0.70163,1.19583,0.46259,1.69621,0.000310709,0.000310709,0.000310709
21,3883.75,1.01595,0.45546,1.47298,0.96808,0.94318,0.97956,0.70298,1.16796,0.45737,1.68059,0.00028322,0.00028322,0.00028322
22,4066.58,0.97338,0.43008,1.4286,0.96039,0.94229,0.97282,0.70281,1.138,0.45265,1.67086,0.000255731,0.000255731,0.000255731
23,4249.26,0.9507,0.4135,1.41101,0.96408,0.94252,0.97854,0.71828,1.13792,0.43681,1.65905,0.000228242,0.000228242,0.000228242
24,4433.41,0.92401,0.39927,1.37664,0.95906,0.95017,0.97512,0.69675,1.13283,0.44097,1.6804,0.000200753,0.000200753,0.000200753
25,4616.81,0.89138,0.38604,1.35215,0.96198,0.95181,0.97653,0.70837,1.12211,0.42546,1.67638,0.000173264,0.000173264,0.000173264
26,4799.79,0.86581,0.37747,1.33366,0.97437,0.93181,0.9782,0.70688,1.11672,0.43005,1.66371,0.000145775,0.000145775,0.000145775
27,4983.44,0.84372,0.36368,1.31012,0.95157,0.96341,0.98007,0.72252,1.11684,0.4198,1.65944,0.000118286,0.000118286,0.000118286
28,5166.12,0.81479,0.35205,1.28463,0.98166,0.93509,0.97884,0.72128,1.10778,0.41926,1.65998,9.0797e-05,9.0797e-05,9.0797e-05
29,5348,0.7963,0.34638,1.26911,0.98299,0.93253,0.97845,0.7216,1.11974,0.42151,1.67254,6.3308e-05,6.3308e-05,6.3308e-05
30,5531,0.78129,0.33985,1.25058,0.97204,0.9394,0.97962,0.71885,1.12011,0.41897,1.67743,3.5819e-05,3.5819e-05,3.5819e-05
